排序,標題,縣市,區域,類別,備註,推薦者,搜尋連結,詳細地址,原始地址,評價,評論數,消費金額,標記刪除,商店網址,緯度,經度,flag,分享連結,flag2
2338,La fossette 老法的酒窩 法式甜點,台北市,大安區,法式糕餅店,法國人BJ4,台派 Good 地圖,https://maps.google.com/?q=La%2Bfossette%2B%E8%80%81%E6%B3%95%E7%9A%84%E9%85%92%E7%AA%A9%2B%E6%B3%95%E5%BC%8F%E7%94%9C%E9%BB%9E%20%E5%92%8C%E5%B9%B3%E6%9D%B1%E8%B7%AF%E4%BA%8C%E6%AE%B5157%E8%99%9F,和平東路二段157號,106台北市大安區和平東路二段157號,4.8,933,,,,25.0253415,121.5413949,,https://maps.app.goo.gl/PT5iUJhRa9nwisCL7,
2339,松軒傢俱行,台北市,文山區,傢俬店,門外貼有「台灣尚勇」春聯,台派 Good 地圖,https://maps.google.com/?q=%E6%9D%BE%E8%BB%92%E5%82%A2%E4%BF%B1%E8%A1%8C%20%E8%88%88%E9%9A%86%E8%B7%AF%E4%BA%8C%E6%AE%B5173%E8%99%9F,興隆路二段173號,116台北市文山區興隆路二段173號,5,6,,,,25.0007354,121.5489952,,https://maps.app.goo.gl/n2r82324CNkr14vRA,
2340,Sugar Man Cafe,台北市,大安區,咖啡廳,店內有「國民黨不倒，台灣不會好」標語,台派 Good 地圖,https://maps.google.com/?q=Sugar%2BMan%2BCafe%20%E5%92%8C%E5%B9%B3%E6%9D%B1%E8%B7%AF%E4%B8%80%E6%AE%B587-1%E8%99%9F,和平東路一段87-1號,106台北市大安區和平東路一段87-1號,3.8,1,,,,25.02717,121.525663,,https://maps.app.goo.gl/LFaXB2GMLR66NuA87,
2341,JellyJellyCafe,台北市,中正區,甜品店,櫃檯放沛憶施政文宣,台派 Good 地圖,https://maps.google.com/?q=JellyJellyCafe%20%E8%87%A8%E6%B2%82%E8%A1%9731-1%E8%99%9F,臨沂街31-1號,100台北市中正區臨沂街31-1號,4.6,797,,,,25.0400183,121.5299608,,https://maps.app.goo.gl/i4dedSMA8ZWjrjtdA,
2342,小芳桂林米粉,台北市,萬華區,中餐館,店門口貼有民進黨籍立法委員吳沛憶落款春聯,台派 Good 地圖,https://maps.google.com/?q=%E5%B0%8F%E8%8A%B3%E6%A1%82%E6%9E%97%E7%B1%B3%E7%B2%89%20%E5%A4%A7%E7%90%86%E8%A1%97120%E8%99%9F,大理街120號,108台北市萬華區大理街120號,4.4,214,,,,25.0341164,121.4972224,,https://maps.app.goo.gl/M1TJmpGFfEY7phDa8,
2343,PAPERWORK 紙本作業,台北市,萬華區,印刷店,"店家支持罷免藍委
https://www.facebook.com/share/p/1AdprntgyM/",台派 Good 地圖,https://maps.google.com/?q=PAPERWORK%2B%E7%B4%99%E6%9C%AC%E4%BD%9C%E6%A5%AD%20%E8%8E%92%E5%85%89%E8%B7%AF254%E8%99%9F1%E6%A8%93,莒光路254號1樓,108台北市萬華區莒光路254號1樓,4.7,20,,,,25.0313432,121.4994656,,https://maps.app.goo.gl/8n69f4XVACMrLaxy8,
2344,The Misanthrope Society 厭世會社 😞 Cafe Bistro with Books & Arts,台北市,中正區,小餐館 (Bistro),有掛史明寫的台灣獨立,台派 Good 地圖,https://maps.google.com/?q=The%2BMisanthrope%2BSociety%2B%E5%8E%AD%E4%B8%96%E6%9C%83%E7%A4%BE%2B%F0%9F%98%9E%2BCafe%2BBistro%2Bwith%2BBooks%2B%26%2BArts%20%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E5%9B%9B%E6%AE%B540%E5%B7%B71-2%E8%99%9F,羅斯福路四段40巷1-2號,100台北市中正區羅斯福路四段40巷1-2號,4.6,900,,,,25.015118,121.533287,,https://maps.app.goo.gl/92fDCeuJt1We1bkb8,
2345,FAITH,台北市,大安區,時裝及配飾店,店門口貼罷免貼紙，官方帳號常發挺台派言論,台派 Good 地圖,https://maps.google.com/?q=FAITH%20%E6%95%A6%E5%8C%96%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B5161%E5%B7%B74%E8%99%9F2%E6%A8%93,敦化南路一段161巷4號2樓,10690台北市大安區敦化南路一段161巷4號2樓,4.9,40,,,,25.043486,121.5494948,,https://maps.app.goo.gl/LZJ5HPbuRWhFtx8Y8,
2346,振成工具行,台北市,大安區,五金用品店,門外貼有「台灣尚勇」春聯,台派 Good 地圖,https://maps.google.com/?q=%E6%8C%AF%E6%88%90%E5%B7%A5%E5%85%B7%E8%A1%8C%20%E9%80%9A%E5%8C%96%E8%A1%97174%E8%99%9F,通化街174號,106台北市大安區通化街174號,4,114,,,,25.0277884,121.5533887,,https://maps.app.goo.gl/VaAoMfWhAANnTygj7,
2347,COW Records,台北市,大安區,服裝店,老闆夫妻倆都是台派,台派 Good 地圖,https://maps.google.com/?q=COW%2BRecords%20%E5%AE%89%E6%9D%B1%E8%A1%9740%E5%B7%B77%E8%99%9F%2C%201,"安東街40巷7號, 1","10666台北市大安區安東街40巷7號, 1",4.8,71,,,,25.0441639,121.5418546,,https://maps.app.goo.gl/Z6dBJzFNcadCADJk6,
